0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:38 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:38 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:16:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:18:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:19:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:21:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/css/menu.css HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/css/myPage/myPage_Main.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/css/index.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/css/common.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/js/mainPage/slideShow.js HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /Project-UIUX/js/mainPage/subMenu.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:22:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:19:25:12 +0900] "GET /Project-UIUX/html/myPage_Main.html HTTP/1.1" 200 2345
